,precio-dto,precio-lista,descripcion
157,,"$ 164,60",Aperitivo sin alcohol Terma light limón 1.75 l.
158,,"$ 164,60",Aperitivo sin alcohol Terma pomelo rosado 1.75 l.
159,,"$ 164,60",Aperitivo sin alcohol Terma serrano 1.7 l.
160,,"$ 164,60",Aperitivo sin alcohol Terma citrus 1.75 l.
161,,"$ 81,95",Agua mineral Eco De Los Andes sin gas 850 cc.
162,,"$ 169,00",Gaseosa cola Coca Cola light pet 1.75 l.
163,,"$ 169,00",Gaseosa Sprite lima-limón 1.75 l.
164,,"$ 97,00",Jugo de naranja Petit con pulpa sin azúcar agregada 1 l.
165,"$ 110,77","$ 147,70",Agua saborizada Villa del Sur Levité cero pomelo 1.5 l.
166,"$ 110,77","$ 147,70",Agua saborizada Villa del Sur Levité cero manzana 1.5 l.
167,"$ 110,77","$ 147,70",Agua saborizada Villa del Sur Levité cero naranja 1.5 l.
168,"$ 113,70","$ 151,60",Agua saborizada Ser limón con gas 1.5 l.
169,,"$ 230,00",Gaseosa Fanta limón 2.25 l.
170,,"$ 139,00",Aperitivo sin alcohol Terma limón cero 1.35 l.
171,,"$ 21,04",Jugo Tutti manzana tetra 200 cc.
172,"$ 79,91","$ 106,55",Agua saborizada Villa del Sur Levité manzana 1 l.
173,"$ 79,91","$ 106,55",Agua saborizada pomelo sin gas Villa del Sur Levité 1 l.
174,"$ 79,91","$ 106,55",Agua saborizada Villa del Sur Levité naranja 1 l.
175,,"$ 108,00",Jugo Cepita del valle naranja tentación 1 l.
176,,"$ 108,00",Jugo Cepita del valle durazno delicioso 1 l.
177,,"$ 162,60",Gaseosa pomelo sin azúcar Paso De Los Toros pet 1.5 l.
178,,"$ 108,25",Bebida isotónica Powerade mountain blast 995 cc.
179,,"$ 108,25",Bebida isotónica Powerade frutas tropicales 995 cc.
180,,"$ 146,90",Aperitivo sin alcohol Terma serrano cero 1.35 l.
181,,"$ 146,90",Aperitivo sin alcohol Terma cuyano cero 1.35 l.
182,,"$ 146,90",Aperitivo sin alcohol Terma manzana cero 1.35 l.
183,,"$ 146,90",Aperitivo sin alcohol pomelo cero Terma 1.35 l.
184,,"$ 146,90",Aperitivo sin alcohol patagónico cero Terma 1.35 l
185,,"$ 146,90",Aperitivo sin alcohol Terma pomelo rosado 1.35 l.
186,,"$ 146,90",Aperitivo sin alcohol Terma citrus 1.35 l.
187,,"$ 245,00",Gaseosa Coca-Cola light 2.25 l.
188,,"$ 245,00",Gaseosa Fanta naranja 2.25 l.
189,,"$ 110,07",Vino tinto Vin Up 1 l.
190,,"$ 112,00",Jugo Cepita del valle 25% multifruta 1 l.
191,,"$ 113,76",Bebida alcohólica Vin Up a base de vino blanco 1 l.
192,,"$ 57,54",Agua saborizada Ser citrus 500 cc.
193,,"$ 20,92",Jugo en polvo Arcor manzana 18 g.
194,,"$ 236,50",Jugo concentrado sin azúcar naranja Zulueta 2 l.
195,,"$ 236,50",Jugo concentrado sin azúcar ananá Zulueta 2 l.
196,,"$ 236,50",Jugo Zulueta concentrado sin azúcar pomelo 2 l.
197,,"$ 236,50",Jugo concentrado sin azúcar durazno Zulueta 2 l.
198,"$ 45,00","$ 60,00",Agua saborizada con gas H2Oh limóneto 500 cc.
199,,"$ 60,60",Agua de mesa Kin sin gas 500 cc.
200,,"$ 61,80",Agua de mesa Kin con gas 500 cc.
201,,"$ 74,20",Agua mineral sin gas Villa del Sur 600 cc.
202,,"$ 93,00",Bebida isotónica Carrefour blueberry 750 cc.
203,,"$ 93,00",Bebida isotónica Carrefour frutas tropicales 750 cc.
204,,"$ 93,00",Bebida isotónica Carrefour manzana 750 cc.
205,,"$ 93,00",Bebida isotónica Carrefour naranja 750 cc.
